timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1749910368589,368623109,-0.0057375776,-0.02007124,-0.025367737
1749910368606,368639776,-0.032900214,-0.01642932,0.0056915283
1749910368622,368656443,-0.013219227,-0.0073236255,0.023227692
1749910368639,368673110,-0.00231023,-0.03127326,0.05483818
1749910368656,368689777,0.0006884199,-0.0484737,0.058449745
1749910368672,368706444,-0.0058696736,-0.061190918,0.044189453
1749910368689,368723111,0.0065976554,-0.05120436,-0.0030822754
1749910368706,368739778,0.023515575,-0.04597684,0.012752533
1749910368722,368756445,0.019982059,-0.043777693,0.0516901
1749910368739,368773112,0.006434938,-0.01951827,0.081697464
1749910368756,368789779,-0.021543967,-0.041878507,0.07986641
1749910368772,368806446,-0.0547457,-0.06640749,0.051906586
1749910368789,368823113,-0.09334594,-0.078358054,0.048401833
1749910368806,368839780,-0.09696238,-0.08533076,0.046146393
1749910368822,368856447,-0.08732338,-0.054132603,0.09196949
1749910368839,368873114,-0.040810335,-0.058229595,0.09422207
1749910368856,368889781,-0.010652181,-0.086031474,0.09653282
1749910368872,368906448,-0.0010297241,-0.05550229,0.0743227
1749910368889,368923115,-0.003967355,-0.038379855,0.06793976
1749910368906,368939782,-0.032248896,-0.10217045,0.11799145
1749910368922,368956449,-0.0627193,-0.1066235,0.16769886
1749910368939,368973116,-0.057243455,-0.14124656,0.18520164
1749910368956,368989783,-0.07032165,-0.17981774,0.18111515
1749910368972,369006450,-0.11390533,-0.22690521,0.21735859
1749910368989,369023117,-0.0794783,-0.20070055,0.2610054
1749910369006,369039784,-0.11168987,-0.28320098,0.21438026
1749910369022,369056451,-0.09629609,-0.40788275,0.19490337
1749910369039,369073118,-0.07841706,-0.29664886,0.37735653
1749910369056,369089785,-0.16235422,-0.33971846,0.43803406
1749910369072,369106452,-0.11724305,-0.41041875,0.36823177
1749910369089,369123119,-0.21522376,-0.55497885,0.48976135
1749910369106,369139786,-0.12098712,-0.4431692,0.29933643
1749910369122,369156453,-0.16938885,-0.36085162,0.29025936
1749910369139,369173120,-0.11820818,-0.40129897,0.35393047
1749910369156,369189787,-0.14246872,-0.45749772,0.33550167
1749910369172,369206454,-0.18064094,-0.57536167,0.44019127
1749910369189,369223121,-0.14082165,-0.5246721,0.502676
1749910369206,369239788,-0.29139742,-0.59550023,0.41429615
1749910369222,369256455,-0.3066951,-0.6135127,0.34767437
1749910369239,369273122,-0.33133942,-0.50866675,0.4022131
1749910369256,369289789,-0.5508977,-0.46382985,0.670187
1749910369272,369306456,-0.5724357,-0.6176474,0.94027233
1749910369289,369323123,-0.38657528,-1.0026168,0.8896303
1749910369306,369339790,-0.08566715,-1.2575154,0.5551357
1749910369322,369356457,0.027963258,-1.4295267,0.26404762
1749910369339,369373124,-0.07057891,-1.264472,-0.004415512
1749910369356,369389791,-0.7576423,-1.5667948,0.1301117
1749910369372,369406458,-1.0539778,-1.8368994,0.45973969
1749910369389,369423125,-0.78864694,-2.2698364,1.0988884
1749910369406,369439792,-0.48740843,-2.2228818,1.8937607
1749910369422,369456459,-0.515892,-1.9886189,1.5227814
1749910369439,369473126,-0.48184922,-1.337681,1.3967876
1749910369456,369489793,-0.40321335,-1.3099779,1.2207851
1749910369472,369506460,-0.29384667,-0.5094294,1.0883942
1749910369489,369523127,-0.47771692,-0.1446274,1.054409
1749910369506,369539794,-0.6686059,-0.20986347,0.8091116
1749910369522,369556461,-0.5092456,0.48274842,0.56760216
1749910369539,369573128,-0.24417137,0.8442538,0.16088009
1749910369556,369589795,0.5708447,1.110611,0.46383572
1749910369572,369606462,0.8209557,0.45453864,1.0387325
1749910369589,369623129,0.4496591,0.48019668,0.5354557
1749910369606,369639796,0.15676104,0.61400855,-0.19098854
1749910369622,369656463,0.15209989,0.2312532,-0.38486958
1749910369639,369673130,0.20039837,0.48246703,-0.4386711
1749910369656,369689797,0.1692496,0.9271115,-0.66757584
1749910369672,369706464,0.1452794,1.2418104,-0.7579775
1749910369689,369723131,0.12824279,1.3695399,-0.8327093
1749910369706,369739798,0.14397609,1.5297552,-0.76819324
1749910369722,369756465,0.21758203,1.6555959,-0.7488394
1749910369739,369773132,0.2107003,1.4892181,-0.6642513
1749910369756,369789799,0.18627167,0.9829682,-0.37856293
1749910369772,369806466,0.26826093,0.4914709,0.0065689087
1749910369789,369823133,0.20753133,0.23024338,0.123015404
1749910369806,369839800,0.055690713,0.20762856,0.024633408
1749910369822,369856467,-0.028850382,0.32037196,-0.22610569
1749910369839,369873134,-0.2704632,0.38525352,-0.4986658
1749910369856,369889801,-0.3733365,0.29697922,-0.78092384
1749910369872,369906468,-0.3322434,0.16448475,-0.6799774
1749910369889,369923135,-0.23356892,0.013159772,-0.4884405
1749910369906,369939802,-0.19098501,-0.056320123,-0.55303574
1749910369922,369956469,-0.17734692,-0.118380286,-0.73463726
1749910369939,369973136,-0.12826481,0.12643369,-0.92350006
1749910369956,369989803,-0.036496982,-0.05160601,-1.0889492
1749910369972,370006470,-0.10715848,-0.20010422,-1.1110144
1749910369989,370023137,-0.036773022,-0.13897231,-1.0488758
1749910370006,370039804,-0.062470306,-0.10906203,-1.0971527
1749910370022,370056471,-0.20564745,0.07722842,-1.3807497
1749910370039,370073138,-0.19031636,0.23773329,-1.502739
1749910370056,370089805,-0.23537993,0.27247146,-1.4189243
1749910370072,370106472,0.08690608,0.2657053,-1.4613581
1749910370089,370123139,0.15675567,0.171898,-1.5969009
1749910370106,370139806,0.24435532,0.25169167,-1.6990681
1749910370122,370156473,0.24551758,0.4888242,-1.6958647
1749910370139,370173140,-0.053740785,0.5311346,-1.8937964
1749910370156,370189807,-0.25890848,0.3854662,-1.8484144
1749910370172,370206474,-0.5335798,0.42760196,-1.6566887
1749910370189,370223141,-0.44894722,0.6321486,-1.5403147
1749910370206,370239808,-0.29891953,0.5704117,-1.6572189
