timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1749911984942,515055101,0.042924434,0.008173422,-0.31216908
1749911984959,515071768,0.035279956,0.028880555,-0.26704597
1749911984975,515088435,0.049786337,0.016115395,-0.22740746
1749911984992,515105102,0.062323123,-0.0041676224,-0.20544338
1749911985009,515121769,0.03775307,-0.0070600477,-0.2575655
1749911985025,515138436,0.037841637,-0.0040677125,-0.31159782
1749911985042,515155103,0.020027654,-0.008311665,-0.3240633
1749911985059,515171770,-0.032140326,-0.03486914,-0.2879219
1749911985075,515188437,-0.065858595,-0.022841068,-0.30983734
1749911985092,515205104,-0.08891714,-0.053528614,-0.2887497
1749911985109,515221771,-0.0814574,-0.028433977,-0.26202297
1749911985125,515238438,-0.05627151,-0.029177828,-0.21916485
1749911985142,515255105,-0.05974753,-0.032639094,-0.20437145
1749911985159,515271772,-0.035524257,-0.059883814,-0.22620201
1749911985175,515288439,-0.029840544,-0.07346681,-0.24056625
1749911985192,515305106,-0.030715318,-0.05656677,-0.27931213
1749911985209,515321773,-0.0046852226,-0.056641366,-0.31420898
1749911985225,515338440,-0.013393735,-0.06823052,-0.28301525
1749911985242,515355107,-0.021028547,-0.10043761,-0.23244286
1749911985259,515371774,-0.023464167,-0.09667595,-0.22647762
1749911985275,515388441,0.01771871,-0.105103835,-0.23085403
1749911985292,515405108,0.05240099,-0.107006714,-0.26282597
1749911985309,515421775,0.034494977,-0.12101718,-0.2869358
1749911985325,515438442,0.05062194,-0.14261098,-0.25792694
1749911985342,515455109,0.031019073,-0.15179436,-0.24036312
1749911985359,515471776,0.0351544,-0.157832,-0.24115181
1749911985375,515488443,0.012424583,-0.14871055,-0.24406528
1749911985392,515505110,0.00032392616,-0.13404703,-0.2364502
1749911985409,515521777,0.048839983,-0.11889755,-0.24503708
1749911985425,515538444,0.087365456,-0.13210985,-0.14971066
1749911985442,515555111,0.0884766,-0.13426323,-0.18155384
1749911985459,515571778,0.08402684,-0.12128523,-0.030025482
1749911985475,515588445,0.15096506,-0.11655743,0.15759373
1749911985492,515605112,0.21982181,-0.015655741,0.11488247
1749911985509,515621779,0.20497501,-0.048606023,-0.10181332
1749911985525,515638446,0.06409882,0.036692724,-0.29119778
1749911985542,515655113,-0.0030291593,0.11373345,-0.33251762
1749911985559,515671780,0.08675622,0.05637846,-0.021996498
1749911985575,515688447,0.09855167,0.020892873,0.013051033
1749911985592,515705114,0.07360835,-0.002816431,0.16803455
1749911985609,515721781,0.10495286,0.10721363,-0.18370628
1749911985625,515738448,0.13062315,0.03393815,-0.12314606
1749911985642,515755115,0.14032082,0.061088942,-0.09145546
1749911985659,515771782,0.094837554,0.03674754,0.10984993
1749911985675,515788449,0.14327823,-0.036737036,0.90469074
1749911985692,515805116,0.35134763,-0.05984129,1.2881126
1749911985709,515821783,0.48052686,-0.05746574,1.3877916
1749911985725,515838450,0.53591746,-0.021804582,1.2863045
1749911985742,515855117,0.5127608,0.07603883,1.3461952
1749911985759,515871784,0.29145306,0.14965561,1.9270487
1749911985775,515888451,0.10730577,0.21200204,3.0719013
1749911985792,515905118,-0.34838974,0.3418853,2.8644056
1749911985809,515921785,-0.6690488,0.2901087,1.9416046
1749911985825,515938452,-0.74406034,0.16003014,1.1304283
1749911985842,515955119,-0.7590996,0.044474497,0.687109
1749911985859,515971786,-0.7080428,0.30255267,0.012694359
