timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1746708955538,40034616,-0.9510371,-0.9080223,-2.5759368
1746708955555,40051283,-0.57569695,-1.1944952,-2.6530924
1746708955571,40067950,-0.49129456,-0.81913567,-3.491036
1746708955588,40084617,-1.0679175,-1.0892398,-4.4456983
1746708955605,40101284,-1.8460927,-1.9878379,-3.7901707
1746708955621,40117951,-1.9158309,-3.4864924,-2.2073188
1746708955638,40134618,-1.8068607,-4.5258255,-0.7415018
1746708955655,40151285,-0.24202967,-3.4723415,-0.16069317
1746708955671,40167952,1.5679405,-2.1644135,-0.83210564
1746708955688,40184619,1.5314063,-1.7132089,-0.9374027
1746708955705,40201286,0.5459626,-2.2710595,-0.6183796
1746708955721,40217953,-0.32023326,-2.7975867,-0.32258224
1746708955738,40234620,0.18110695,-2.2653534,-0.7286682
1746708955755,40251287,0.9800853,-1.7592423,-1.0808973
1746708955771,40267954,1.2334919,-1.5729167,-1.2463264
1746708955788,40284621,1.7836976,-1.2961757,-1.6244726
1746708955805,40301288,0.80023146,-1.7053739,-2.1082454
1746708955821,40317955,0.3179247,-1.7023447,-1.5487356
1746708955838,40334622,0.8519632,-2.10239,-0.05286503
1746708955855,40351289,2.3200474,-1.7242683,0.6851511
1746708955871,40367956,2.6676848,-0.85439795,0.11177063
1746708955888,40384623,2.0004249,-0.9589513,0.35535526
1746708955905,40401290,1.3822308,-0.8392916,0.21201229
1746708955921,40417957,1.3316154,-0.65943944,-0.18768787
1746708955938,40434624,1.468231,-0.54626274,-0.4436283
1746708955955,40451291,1.9372706,-0.122997165,-0.9505539
1746708955971,40467958,1.9514711,0.09793466,-0.99792194
1746708955988,40484625,1.4429994,-0.042131968,-0.7000942
1746708956005,40501292,1.4101372,0.18440713,-0.7826023
1746708956021,40517959,1.4665678,0.33635235,-0.9358978
1746708956038,40534626,1.5695465,0.25724664,-0.6858244
1746708956055,40551293,1.9121324,0.13577875,-0.6031275
1746708956071,40567960,2.4229028,0.2202063,-0.72713184
1746708956088,40584627,2.813404,-0.018638521,-0.931242
1746708956105,40601294,4.0291204,0.019315766,-0.43753052
1746708956121,40617961,1.6539085,-0.49953982,1.0369577
1746708956138,40634628,0.5311334,-1.1597549,1.9460135
1746708956155,40651295,1.0719252,0.50035095,-0.5669842
1746708956171,40667962,0.57319105,0.44132498,-0.66182804
1746708956188,40684629,0.9857112,0.89714926,-0.76282406
1746708956205,40701296,0.9884456,1.1898193,-0.02756691
1746708956221,40717963,0.3897619,1.045,0.8589821
1746708956238,40734630,0.55737317,0.66452724,0.5341501
1746708956255,40751297,0.71468455,0.59400356,-0.045981407
1746708956271,40767964,0.7295674,0.32943708,0.110061646
1746708956288,40784631,1.0047067,0.6050641,-0.29633617
1746708956305,40801298,1.2150124,0.5482042,-0.122338295
1746708956321,40817965,1.1948097,0.2131006,0.21508121
1746708956338,40834632,0.99073863,0.04599025,0.3259859
1746708956355,40851299,1.0051064,-0.20773853,0.5762062
1746708956371,40867966,0.35580805,-0.8447062,1.0935345
1746708956388,40884633,-0.18962169,-0.60921717,0.46690083
1746708956405,40901300,0.22890788,-0.13887866,-0.01792717
1746708956421,40917967,0.7353431,0.33990866,-0.17679024
1746708956438,40934634,1.1062053,0.67655605,-0.45919228
1746708956455,40951301,1.2063634,0.8730226,-0.39631176
1746708956471,40967968,0.9623546,0.96883845,-0.361948
1746708956488,40984635,0.5398867,0.81941885,-0.15186119
1746708956505,41001302,0.2675965,0.7884008,-0.1355133
1746708956521,41017969,0.5560249,0.8746431,-0.21174717
1746708956538,41034636,0.43378276,0.7901557,-0.12650967
1746708956555,41051303,0.57367504,1.018178,-0.57454777
1746708956571,41067970,0.42856106,0.94568765,-0.4801445
1746708956588,41084637,0.37090522,0.86093795,-0.28435802
1746708956605,41101304,0.5764779,0.9650515,-0.3542099
1746708956621,41117971,0.8026586,1.1878692,-0.6220341
1746708956638,41134638,0.4878967,0.93089706,-0.76249313
1746708956655,41151305,0.2630342,0.6183372,-0.65415764
1746708956671,41167972,0.7344075,0.73748547,-0.6557884
1746708956688,41184639,0.9201094,1.025543,-0.7773237
1746708956705,41201306,0.8492992,1.1094575,-0.7754917
1746708956721,41217973,1.1050723,1.3188835,-0.8307228
1746708956738,41234640,1.1611291,1.4016289,-0.9255581
1746708956755,41251307,0.84729594,1.0098091,-0.8271818
1746708956771,41267974,0.9493521,0.9614258,-0.8522644
1746708956788,41284641,0.875318,0.8662486,-0.5661402
1746708956805,41301308,0.97591543,0.9439692,-0.46940327
1746708956821,41317975,0.8988766,1.0691859,-0.5093832
1746708956838,41334642,0.62452483,0.89488196,-0.35596466
1746708956855,41351309,0.73841655,0.9125825,-0.3625927
1746708956871,41367976,0.65349656,1.0146269,-0.3558321
1746708956888,41384643,0.4652899,0.77378565,-0.08304596
1746708956905,41401310,0.47960755,0.87045455,-0.18091774
1746708956921,41417977,0.55352145,0.97854865,-0.43533134
1746708956938,41434644,0.5191039,0.706371,-0.6081152
1746708956955,41451311,0.44604823,0.7067901,-0.74819756
1746708956971,41467978,0.5551788,0.76806116,-0.5339937
1746708956988,41484645,0.5971132,0.7311919,-0.42911434
1746708957005,41501312,0.3608046,0.66963184,-0.50180626
1746708957021,41517979,0.14669105,0.6120397,-0.57780266
1746708957038,41534646,-0.011115802,0.5343008,-0.7232609
1746708957055,41551313,0.17336601,0.70999783,-1.005291
1746708957071,41567980,0.048860434,0.75397176,-0.9987631
1746708957088,41584647,-0.026022663,0.61739653,-0.54836845
1746708957105,41601314,0.09490075,0.6902017,-0.31338024
1746708957121,41617981,0.1208843,0.5835987,-0.3106079
1746708957138,41634648,0.015392946,0.46480474,-0.27948475
1746708957155,41651315,0.26087454,0.5733655,-0.24046421
1746708957171,41667982,0.2523348,0.66972035,-0.36564827
1746708957188,41684649,-0.07144466,0.33921298,-0.57834053
1746708957205,41701316,0.12327311,0.4568178,-0.5166073
1746708957221,41717983,0.25750676,0.47790882,-0.4168892
1746708957238,41734650,0.46620518,0.72685164,-0.2969103
1746708957255,41751317,0.4451485,0.6534866,-0.3891077
1746708957271,41767984,0.38527545,0.66034025,-0.6936722
1746708957288,41784651,0.3510058,0.7180827,-0.66187763
1746708957305,41801318,0.38733935,0.58739585,-0.50133705
1746708957321,41817985,0.537793,0.69344676,-0.54479027
1746708957338,41834652,0.5592189,0.6834516,-0.63589287
1746708957355,41851319,0.6352771,0.6875488,-0.48438644
1746708957371,41867986,0.2605596,0.48937297,-0.5520954
1746708957388,41884653,0.47503114,0.64807904,-0.5695467
1746708957405,41901320,0.5399728,0.7382818,-0.57224464
1746708957421,41917987,0.3434708,0.46213257,-0.4900341
1746708957438,41934654,0.4057345,0.42910555,-0.43239594
1746708957455,41951321,0.41948554,0.52246594,-0.50722027
1746708957471,41967988,0.17411195,0.35396263,-0.63207245
1746708957488,41984655,0.11301974,0.3658046,-0.64669895
1746708957505,42001322,0.15522476,0.45576048,-0.49676037
1746708957521,42017989,0.13850442,0.4805372,-0.48728752
1746708957538,42034656,0.13550429,0.40977347,-0.514946
1746708957555,42051323,0.064907886,0.4479276,-0.58309746
1746708957571,42067990,0.009846249,0.49917477,-0.47595978
1746708957588,42084657,-0.03885523,0.41069242,-0.36999226
1746708957605,42101324,0.02160799,0.34838915,-0.34242344
1746708957621,42117991,0.039830346,0.41114274,-0.28883743
1746708957638,42134658,-0.043463532,0.38697302,-0.34741402
1746708957655,42151325,-0.019635195,0.49257675,-0.35034466
1746708957671,42167992,-0.023211472,0.35897374,-0.4918251
1746708957688,42184659,0.012235058,0.35709542,-0.5375948
1746708957705,42201326,0.025123974,0.3367757,-0.42713642
1746708957721,42217993,0.03665294,0.30301303,-0.30589676
1746708957738,42234660,0.11354128,0.16847381,-0.20146847
1746708957755,42251327,0.09015714,0.22141,-0.45580482
1746708957771,42267994,-0.12366934,0.10033678,-0.7164526
1746708957788,42284661,-0.39683267,-0.06018455,-0.7311764
1746708957805,42301328,0.061447762,0.17015938,-0.13269806
1746708957821,42317995,0.26258588,0.37172914,0.05343342
1746708957838,42334662,0.07370085,0.278745,-0.30879402
1746708957855,42351329,-0.076697186,0.20534465,-0.5387764
1746708957871,42367996,-0.21580125,0.19410922,-0.5075512
1746708957888,42384663,-0.066646114,0.31207913,-0.31256008
1746708957905,42401330,-0.30400765,0.23362194,-0.33232975
1746708957921,42417997,-0.18744296,0.32222176,-0.16310024
1746708957938,42434664,-0.20503712,0.37035158,-0.16380024
1746708957955,42451331,-0.39695376,0.14100477,-0.24894047
1746708957971,42467998,-0.3841346,0.06698706,-0.25533867
1746708957988,42484665,-0.3396119,0.007955105,-0.2966833
1746708958005,42501332,-0.27885434,-0.025418956,-0.32820606
1746708958021,42517999,-0.15900683,0.038159307,-0.3308487
1746708958038,42534666,-0.25842294,0.013857077,-0.46438885
1746708958055,42551333,-0.21431048,-0.002987083,-0.5121126
1746708958071,42568000,-0.22536671,0.1110119,-0.3366785
1746708958088,42584667,-0.13748531,0.16660975,-0.22782516
1746708958105,42601334,-0.21310998,0.06462279,-0.3903904
1746708958121,42618001,-0.30883318,0.13358772,-0.4033661
1746708958138,42634668,-0.22741355,0.1313803,-0.24991703
1746708958155,42651335,-0.25041208,0.004118785,-0.37171078
1746708958171,42668002,-0.35078868,-0.0053171497,-0.53430367
1746708958188,42684669,-0.3895876,-0.10947145,-0.4669199
1746708958205,42701336,-0.34273008,-0.113751665,-0.3292961
1746708958221,42718003,-0.35704517,-0.049505103,-0.45785046
1746708958238,42734670,-0.4488539,0.031571876,-0.635746
1746708958255,42751337,-0.40589473,0.067051485,-0.3871956
1746708958271,42768004,-0.44307223,0.061826143,-0.43566418
1746708958288,42784671,-0.37983403,0.016603157,-0.5284929
