participant,cognitive_load,step_interval_cv,step_count,step_rate,step_efficiency,activity_regularity,mean_acceleration_magnitude,mean_velocity_magnitude
p4,0,0.3882313966708647,40,1.3333333333333333,2.5757834337334167,103.03133734933667,4.691961751022652,1.283002361819691
p4,1,0.5453339524601197,37,1.2333333333333334,1.8337387494191093,67.84833372850704,4.691961751022652,1.283002361819691
p5,0,0.43014888631576603,36,1.2,2.3247764479062596,83.69195212462535,4.0145170206904774,1.075596921341645
p5,1,0.548321766791118,31,1.0333333333333334,1.823746676795612,56.53614698066397,4.0145170206904774,1.075596921341645
p8,0,0.32704819094373133,45,1.5,3.0576533602414884,137.59440121086698,4.993903364980793,1.023599016304872
p8,1,0.47606009913988767,38,1.2666666666666666,2.100575120256309,79.82185456973974,4.993903364980793,1.023599016304872
p9,0,0.4522249592819342,39,1.3,2.2112888275513383,86.2402642745022,4.464956592632638,0.9881802130225187
p9,1,0.4305202613567826,38,1.2666666666666666,2.322771051119649,88.26529994254666,4.464956592632638,0.9881802130225187
p10,0,0.34659939680166924,46,1.5333333333333334,2.8851752461999207,132.71806132519635,5.424521640498363,1.0791394691810912
p10,1,0.5982511880607269,38,1.2666666666666666,1.6715386779950576,63.51846976381219,5.424521640498363,1.0791394691810912
xhoel,0,0.47123140754178516,41,1.3666666666666667,2.1220996393610028,87.00608521380111,4.910214129947,1.1497173628292308
xhoel,1,0.4914756333594956,38,1.2666666666666666,2.034688867817254,77.31817697705566,4.910214129947,1.1497173628292308
ashish,0,0.5000352928720602,44,1.4666666666666666,1.9998588384757505,87.99378889293303,5.919398166810926,1.2919494376315426
ashish,1,0.48430140404553396,42,1.4,2.0648298593534125,86.72285409284332,5.919398166810926,1.2919494376315426
nour,0,0.3275387498496341,48,1.6,3.053073874340298,146.5475459683343,4.595262189958183,1.439040787535543
nour,1,0.2965370302539511,43,1.4333333333333333,3.3722601158567307,145.00718498183943,4.595262189958183,1.439040787535543
enas,0,0.41178837368612997,44,1.4666666666666666,2.42843184485391,106.85100117357204,7.355270697854741,2.92452872533144
enas,1,0.3917366321265207,43,1.4333333333333333,2.5527354809060236,109.76762567895902,7.355270697854741,2.92452872533144
ghefar,0,0.3250999329610176,41,1.3666666666666667,3.075977256875993,126.11506753191571,4.797732660033816,1.088442745295909
ghefar,1,0.2957683092110513,42,1.4,3.38102483889317,142.00304323351315,4.797732660033816,1.088442745295909
